,PERMNO,DATE,SHRCD,HEXCD,RET,date
318,10001.0,2010-11-30,11.0,2.0,-0.11843638122081757,2010-11-30
319,10001.0,2010-12-31,11.0,2.0,0.052290886640548706,2010-12-31
320,10001.0,2011-01-31,11.0,2.0,0.02899232506752014,2011-01-31
321,10001.0,2011-02-28,11.0,2.0,0.022727256640791893,2011-02-28
322,10001.0,2011-03-31,11.0,2.0,0.07240437716245651,2011-03-31
323,10001.0,2011-04-29,11.0,2.0,-0.038789428770542145,2011-04-29
324,10001.0,2011-05-31,11.0,2.0,0.028049908578395844,2011-05-31
325,10001.0,2011-06-30,11.0,2.0,0.008260886184871197,2011-06-30
326,10001.0,2011-07-29,11.0,2.0,-0.02813851833343506,2011-07-29
327,10001.0,2011-08-31,11.0,2.0,-0.013864110223948956,2011-08-31
328,10001.0,2011-09-30,11.0,2.0,0.005009128712117672,2011-09-30
329,10001.0,2011-10-31,11.0,2.0,0.005004570819437504,2011-10-31
330,10001.0,2011-11-30,11.0,2.0,-0.005000034347176552,2011-11-30
331,10001.0,2011-12-30,11.0,2.0,0.05183490738272667,2011-12-30
332,10001.0,2012-01-31,11.0,2.0,-0.01970231719315052,2012-01-31
333,10001.0,2012-02-29,11.0,2.0,0.005004517268389463,2012-02-29
334,10001.0,2012-03-30,11.0,2.0,0.048759933561086655,2012-03-30
335,10001.0,2012-04-30,11.0,2.0,-0.015000010840594769,2012-04-30
336,10001.0,2012-05-31,11.0,2.0,-0.08436109870672226,2012-05-31
337,10001.0,2012-06-29,11.0,2.0,-0.027325015515089035,2012-06-29
338,10001.0,2012-07-31,11.0,2.0,0.009405865333974361,2012-07-31
339,10001.0,2012-08-31,11.0,2.0,-0.012315278872847557,2012-08-31
340,10001.0,2012-09-28,11.0,2.0,0.0005010060267522931,2012-09-28
341,10001.0,2012-10-31,11.0,2.0,0.012676090002059937,2012-10-31
342,10001.0,2012-11-30,11.0,2.0,-0.045504387468099594,2012-11-30
343,10001.0,2012-12-31,11.0,2.0,-0.015231147408485413,2012-12-31
344,10001.0,2013-01-31,11.0,2.0,0.06270096451044083,2013-01-31
345,10001.0,2013-02-28,11.0,2.0,0.011651438660919666,2013-02-28
346,10001.0,2013-03-28,11.0,2.0,0.030684128403663635,2013-03-28
347,10001.0,2013-04-30,11.0,2.0,0.017156874760985374,2013-04-30
348,10001.0,2013-05-31,11.0,2.0,-0.0004840453912038356,2013-05-31
349,10001.0,2013-06-28,11.0,2.0,0.006323002278804779,2013-06-28
350,10001.0,2013-07-31,11.0,2.0,0.01601940579712391,2013-07-31
351,10001.0,2013-08-30,11.0,2.0,-0.016794651746749878,2013-08-30
352,10001.0,2013-09-30,11.0,2.0,0.004411764908581972,2013-09-30
353,10001.0,2013-10-31,11.0,2.0,-0.018137210980057716,2013-10-31
354,10001.0,2013-11-29,11.0,2.0,-0.13490474224090576,2013-11-29
355,10001.0,2013-12-31,11.0,2.0,-0.05885783210396767,2013-12-31
356,10001.0,2014-01-31,11.0,2.0,0.1475716531276703,2014-01-31
357,10001.0,2014-02-28,11.0,2.0,0.025626998394727707,2014-02-28
358,10001.0,2014-03-31,11.0,2.0,0.07959409803152084,2014-03-31
359,10001.0,2014-04-30,11.0,2.0,0.08797208219766617,2014-04-30
360,10001.0,2014-05-30,11.0,2.0,-0.033486224710941315,2014-05-30
361,10001.0,2014-06-30,11.0,2.0,0.00905626267194748,2014-06-30
362,10001.0,2014-07-31,11.0,2.0,0.22722963988780975,2014-07-31
